,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
992,2024-03-04 09:15:04,1.0,E4,route_E4_A18,3,2024-03-04 09:15:01
776,2024-03-04 09:15:05,1.0,E10,route_E10_A5,1,2024-03-04 09:15:04
1001,2024-03-04 09:15:07,1.0,E4,route_E4_A7,3,2024-03-04 09:15:04
379,2024-03-04 09:15:23,1.0,E22,route_E22_A7,0,2024-03-04 09:15:23
45,2024-03-04 09:15:27,1.0,E7,route_E7_A16,2,2024-03-04 09:15:25
571,2024-03-04 09:15:28,1.0,E12,route_E12_A8,3,2024-03-04 09:15:25
374,2024-03-04 09:15:30,1.0,E5,route_E5_A3,4,2024-03-04 09:15:26
380,2024-03-04 09:15:27,1.0,E22,route_E22_A7,0,2024-03-04 09:15:27
1124,2024-03-04 09:15:28,1.0,E2,route_E2_A3,0,2024-03-04 09:15:28
44,2024-03-04 09:15:30,1.0,E7,route_E7_A16,2,2024-03-04 09:15:28
381,2024-03-04 09:15:29,1.0,E22,route_E22_A2,0,2024-03-04 09:15:29
1142,2024-03-04 09:15:30,1.0,E2,route_E2_A3,0,2024-03-04 09:15:30
1141,2024-03-04 09:15:33,1.0,E2,route_E2_A3,0,2024-03-04 09:15:33
382,2024-03-04 09:15:34,1.0,E22,route_E22_A2,0,2024-03-04 09:15:34
1140,2024-03-04 09:15:35,1.0,E2,route_E2_A3,0,2024-03-04 09:15:35
1139,2024-03-04 09:15:38,1.0,E2,route_E2_A3,0,2024-03-04 09:15:38
384,2024-03-04 09:15:41,1.0,E22,route_E22_A2,0,2024-03-04 09:15:41
659,2024-03-04 09:15:51,1.0,E14,route_E14_A17,10,2024-03-04 09:15:41
398,2024-03-04 09:15:47,1.0,E22,route_E22_A1,0,2024-03-04 09:15:47
991,2024-03-04 09:15:51,1.0,E4,route_E4_A7,3,2024-03-04 09:15:48
979,2024-03-04 09:15:53,1.0,E4,route_E4_A16,3,2024-03-04 09:15:50
971,2024-03-04 09:15:56,1.0,E4,route_E4_A16,3,2024-03-04 09:15:53
385,2024-03-04 09:15:54,1.0,E22,route_E22_A2,0,2024-03-04 09:15:54
972,2024-03-04 09:15:59,1.0,E4,route_E4_A16,3,2024-03-04 09:15:56
386,2024-03-04 09:15:57,1.0,E22,route_E22_A2,0,2024-03-04 09:15:57
973,2024-03-04 09:16:03,1.0,E4,route_E4_A7,3,2024-03-04 09:16:00
373,2024-03-04 09:16:06,1.0,E5,route_E5_A3,4,2024-03-04 09:16:02
974,2024-03-04 09:16:05,1.0,E4,route_E4_A7,3,2024-03-04 09:16:02
387,2024-03-04 09:16:02,1.0,E22,route_E22_A1,0,2024-03-04 09:16:02
388,2024-03-04 09:16:04,1.0,E22,route_E22_A1,0,2024-03-04 09:16:04
975,2024-03-04 09:16:08,1.0,E4,route_E4_A7,3,2024-03-04 09:16:05
389,2024-03-04 09:16:09,1.0,E22,route_E22_A1,0,2024-03-04 09:16:09
976,2024-03-04 09:16:14,1.0,E4,route_E4_A7,3,2024-03-04 09:16:11
390,2024-03-04 09:16:12,1.0,E22,route_E22_A1,0,2024-03-04 09:16:12
1333,2024-03-04 09:16:21,1.0,E24,route_E24_A6,9,2024-03-04 09:16:12
977,2024-03-04 09:16:16,1.0,E4,route_E4_A18,3,2024-03-04 09:16:13
391,2024-03-04 09:16:14,1.0,E22,route_E22_A7,0,2024-03-04 09:16:14
704,2024-03-04 09:16:17,1.0,E11,route_E11_A7,2,2024-03-04 09:16:15
1337,2024-03-04 09:16:18,1.0,E3,route_E3_A1,3,2024-03-04 09:16:15
1332,2024-03-04 09:16:24,1.0,E24,route_E24_A2,9,2024-03-04 09:16:15
1338,2024-03-04 09:16:19,1.0,E3,route_E3_A1,3,2024-03-04 09:16:16
392,2024-03-04 09:16:17,1.0,E22,route_E22_A2,0,2024-03-04 09:16:17
1331,2024-03-04 09:16:27,1.0,E24,route_E24_A2,9,2024-03-04 09:16:18
393,2024-03-04 09:16:18,1.0,E22,route_E22_A2,0,2024-03-04 09:16:18
1339,2024-03-04 09:16:21,1.0,E3,route_E3_A1,3,2024-03-04 09:16:18
1340,2024-03-04 09:16:23,1.0,E3,route_E3_A1,3,2024-03-04 09:16:20
394,2024-03-04 09:16:21,1.0,E22,route_E22_A1,0,2024-03-04 09:16:21
1341,2024-03-04 09:16:25,1.0,E3,route_E3_A1,3,2024-03-04 09:16:22
1330,2024-03-04 09:16:32,1.0,E24,route_E24_A2,9,2024-03-04 09:16:23
1342,2024-03-04 09:16:27,1.0,E3,route_E3_A1,3,2024-03-04 09:16:24
978,2024-03-04 09:16:30,1.0,E4,route_E4_A7,3,2024-03-04 09:16:27
770,2024-03-04 09:16:30,1.0,E9,route_E9_A6,3,2024-03-04 09:16:27
775,2024-03-04 09:16:29,1.0,E10,route_E10_A5,1,2024-03-04 09:16:28
1364,2024-03-04 09:16:33,1.0,E3,route_E3_A1,3,2024-03-04 09:16:30
980,2024-03-04 09:16:36,1.0,E4,route_E4_A7,3,2024-03-04 09:16:33
989,2024-03-04 09:16:39,1.0,E4,route_E4_A7,3,2024-03-04 09:16:36
981,2024-03-04 09:16:41,1.0,E4,route_E4_A18,3,2024-03-04 09:16:38
555,2024-03-04 09:16:45,1.0,E13,route_E13_A2,4,2024-03-04 09:16:41
570,2024-03-04 09:16:46,1.0,E12,route_E12_A18,3,2024-03-04 09:16:43
554,2024-03-04 09:16:47,1.0,E13,route_E13_A2,4,2024-03-04 09:16:43
553,2024-03-04 09:16:48,1.0,E13,route_E13_A2,4,2024-03-04 09:16:44
552,2024-03-04 09:16:50,1.0,E13,route_E13_A2,4,2024-03-04 09:16:46
551,2024-03-04 09:16:52,1.0,E13,route_E13_A2,4,2024-03-04 09:16:48
550,2024-03-04 09:16:54,1.0,E13,route_E13_A1,4,2024-03-04 09:16:50
372,2024-03-04 09:16:58,1.0,E5,route_E5_A3,4,2024-03-04 09:16:54
466,2024-03-04 09:16:57,1.0,E6,route_E6_A2,2,2024-03-04 09:16:55
43,2024-03-04 09:16:58,1.0,E7,route_E7_A16,2,2024-03-04 09:16:56
395,2024-03-04 09:16:59,1.0,E22,route_E22_A7,0,2024-03-04 09:16:59
465,2024-03-04 09:17:01,1.0,E6,route_E6_A2,2,2024-03-04 09:16:59
42,2024-03-04 09:17:02,1.0,E7,route_E7_A16,2,2024-03-04 09:17:00
396,2024-03-04 09:17:02,1.0,E22,route_E22_A1,0,2024-03-04 09:17:02
982,2024-03-04 09:17:05,1.0,E4,route_E4_A7,3,2024-03-04 09:17:02
41,2024-03-04 09:17:05,1.0,E7,route_E7_A7,2,2024-03-04 09:17:03
569,2024-03-04 09:17:08,1.0,E12,route_E12_A18,3,2024-03-04 09:17:05
40,2024-03-04 09:17:11,1.0,E7,route_E7_A16,2,2024-03-04 09:17:09
464,2024-03-04 09:17:13,1.0,E6,route_E6_A2,2,2024-03-04 09:17:11
703,2024-03-04 09:17:14,1.0,E11,route_E11_A7,2,2024-03-04 09:17:12
463,2024-03-04 09:17:15,1.0,E6,route_E6_A2,2,2024-03-04 09:17:13
702,2024-03-04 09:17:17,1.0,E11,route_E11_A7,2,2024-03-04 09:17:15
769,2024-03-04 09:17:18,1.0,E9,route_E9_A6,3,2024-03-04 09:17:15
983,2024-03-04 09:17:20,1.0,E4,route_E4_A7,3,2024-03-04 09:17:17
